fileid,audiopath,prev,next,time,emotion,transcription
Ses04F_script03_2_M005,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M005.wav,Ses04F_script03_2_F004,Ses04F_script03_2_F005,35.7000 - 37.9800,ang,You let him kiss you.  You said you did.
Ses04F_script03_2_M006,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M006.wav,Ses04F_script03_2_F005,Ses04F_script03_2_F006,38.6000 - 40.5700,ang,What of it?
Ses04F_script03_2_M007,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M007.wav,Ses04F_script03_2_F006,Ses04F_script03_2_F007,43.2700 - 44.9500,ang,What about me?
Ses04F_script03_2_M008,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M008.wav,Ses04F_script03_2_F007,Ses04F_script03_2_F008,48.2200 - 50.6300,ang,"That's a nice point of view, I must say."
Ses04F_script03_2_M009,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M009.wav,Ses04F_script03_2_F008,Ses04F_script03_2_F009,52.4900 - 56.6700,xxx,So am I.  Bored stiff.  Want some brandy?
Ses04F_script03_2_M010,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M010.wav,Ses04F_script03_2_F009,Ses04F_script03_2_F010,57.2300 - 59.5600,neu,"I'll have some myself, I think."
Ses04F_script03_2_M011,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M011.wav,Ses04F_script03_2_F010,Ses04F_script03_2_F011,61.7200 - 65.2300,xxx,No particular reason.  Anyway they were very small ones.
Ses04F_script03_2_M012,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M012.wav,Ses04F_script03_2_F011,Ses04F_script03_2_F012,68.2400 - 73.1900,fru,You can hardly call three liquor glasses in the whole evening going on and on and on.
Ses04F_script03_2_M013,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M013.wav,Ses04F_script03_2_F012,Ses04F_script03_2_F013,74.5500 - 78.5600,xxx,You needn't be so grand just because you don't happen to want any at the moment.
Ses04F_script03_2_M014,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M014.wav,Ses04F_script03_2_F013,Ses04F_script03_2_F014,79.1200 - 80.7600,ang,"Really, Amanda."
Ses04F_script03_2_M015,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M015.wav,Ses04F_script03_2_F014,Ses04F_script03_2_M016,80.8100 - 82.6360,ang,Nothing.
Ses04F_script03_2_M016,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M016.wav,Ses04F_script03_2_M015,Ses04F_script03_2_F015,83.0370 - 86.5200,ang,"Going somewhere, my dear?"
Ses04F_script03_2_M017,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M017.wav,Ses04F_script03_2_F015,Ses04F_script03_2_F016,88.8200 - 91.5500,xxx,"Ah, that reply has broken my heart."
Ses04F_script03_2_M018,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M018.wav,Ses04F_script03_2_F016,Ses04F_script03_2_F017,95.2600 - 98.2700,xxx,"As a matter of fact, that's perfectly true."
Ses04F_script03_2_M019,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M019.wav,Ses04F_script03_2_F017,Ses04F_script03_2_F018,98.4800 - 99.7800,xxx,"Yes, it is."
Ses04F_script03_2_M020,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M020.wav,Ses04F_script03_2_F018,Ses04F_script03_2_F019,100.8400 - 107.2200,xxx,It's a pity you don't have anymore brandy.  It might have made you a little less disagreeable.
Ses04F_script03_2_M021,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M021.wav,Ses04F_script03_2_F019,Ses04F_script03_2_F020,109.0800 - 111.7300,fru,"Snap, snap, snap like a little adder."
Ses04F_script03_2_M022,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M022.wav,Ses04F_script03_2_F020,Ses04F_script03_2_F021,112.6000 - 117.1800,xxx,Non-sense they have bags of venom behind their fangs and they snap.
Ses04F_script03_2_M023,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M023.wav,Ses04F_script03_2_F021,Ses04F_script03_2_F022,117.4100 - 118.8200,xxx,They snap.
Ses04F_script03_2_M024,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M024.wav,Ses04F_script03_2_F022,Ses04F_script03_2_F023,123.7000 - 126.6200,neu,Did you see much of Peter Burden after our divorce?
Ses04F_script03_2_M025,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M025.wav,Ses04F_script03_2_F023,Ses04F_script03_2_F024,128.3700 - 131.2900,xxx,I suppose you let him kiss you a good deal more then.
Ses04F_script03_2_M026,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M026.wav,Ses04F_script03_2_F024,Ses04F_script03_2_F025,132.9986 - 142.0700,xxx,"You must have had a riotous time.  No restraint at all, very enjoyable, you never had much anyhow."
Ses04F_script03_2_M027,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M027.wav,Ses04F_script03_2_F025,Ses04F_script03_2_F026,144.6400 - 147.0400,ang,I'm not in the least drunk.
Ses04F_script03_2_M028,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M028.wav,Ses04F_script03_2_F026,Ses04F_script03_2_F027,148.4282 - 158.8900,fru,I think I mentioned once before that I had three minute liquor glasses of brandy the whole evening long.  A child of two couldn't get drunk on that.
Ses04F_script03_2_M029,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M029.wav,Ses04F_script03_2_F027,Ses04F_script03_2_F028,162.2800 - 167.4400,xxx,Very interesting and how about a child of six and a child of four and a child of nine.
Ses04F_script03_2_M030,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M030.wav,Ses04F_script03_2_F028,Ses04F_script03_2_F029,169.0502 - 174.1400,xxx,"They'd get up a splendid little debate about that, you know.  Intemperate tots."
Ses04F_script03_2_M031,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M031.wav,Ses04F_script03_2_F029,Ses04F_script03_2_M032,176.9800 - 180.5100,ang,Very good idea.  I will.
Ses04F_script03_2_M032,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M032.wav,Ses04F_script03_2_M031,Ses04F_script03_2_F030,182.6300 - 185.4300,xxx,You'd better turn that off I think.
Ses04F_script03_2_M033,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M033.wav,Ses04F_script03_2_F030,Ses04F_script03_2_F031,186.5695 - 190.6400,xxx,It's very late and it will annoy the people upstairs.
Ses04F_script03_2_M034,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M034.wav,Ses04F_script03_2_F031,Ses04F_script03_2_F032,192.7700 - 195.1800,ang,There are people downstairs I suppose.
Ses04F_script03_2_M035,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M035.wav,Ses04F_script03_2_F032,Ses04F_script03_2_F033,195.6500 - 198.7696,ang,This is no time of year for Tunis.
Ses04F_script03_2_M036,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M036.wav,Ses04F_script03_2_F033,Ses04F_script03_2_F034,200.2600 - 202.6800,xxx,I'll do no such thing.
Ses04F_script03_2_M037,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M037.wav,Ses04F_script03_2_F034,Ses04F_script03_2_F035,205.1000 - 207.3900,ang,Turn it off.  It's driving me mad.
Ses04F_script03_2_M038,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M038.wav,Ses04F_script03_2_F035,Ses04F_script03_2_F036,209.6400 - 211.3500,xxx,Turn it off.
Ses04F_script03_2_M039,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M039.wav,Ses04F_script03_2_F036,Ses04F_script03_2_F037,213.9300 - 215.2800,ang,"Amanda, listen."
Ses04F_script03_2_M040,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M040.wav,Ses04F_script03_2_F038,Ses04F_script03_2_F039,218.5400 - 220.8481,ang,Very amusing.
Ses04F_script03_2_M041,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M041.wav,Ses04F_script03_2_F039,Ses04F_script03_2_F040,221.9400 - 228.5735,ang,"You're a vile tempered, loose living, wicked little beast. And I hope I never see you again as long as I live."
Ses04F_script03_2_M042,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M042.wav,Ses04F_script03_2_F040,Ses04F_script03_2_F041,231.2300 - 234.0100,ang,You're not going like this.
Ses04F_script03_2_M043,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M043.wav,Ses04F_script03_2_F042,Ses04F_script03_2_F043,234.6100 - 235.9300,ang,You're not.
Ses04F_script03_2_M044,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M044.wav,Ses04F_script03_2_F043,Ses04F_script03_2_M045,235.9500 - 240.8300,ang,Shut up.  Shut up. I wouldn't marry you again if you came crawling to me on your bended knees.
Ses04F_script03_2_M045,./IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M045.wav,Ses04F_script03_2_M044,Ses04F_script03_2_F044,240.8600 - 248.2600,ang,"You're a mean, evil minded, little tempered witch. I hope to God I never set eyes on you again as long as I live. Whore."
Ses04M_impro05_F000,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F000.wav,Ses04M_impro05_M000,Ses04M_impro05_M001,6.1700 - 8.2400,neu,"Hi, how can I help you?"
Ses04M_impro05_F001,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F001.wav,Ses04M_impro05_M001,Ses04M_impro05_M002,12.7100 - 14.7000,neu,Mmhmm.
Ses04M_impro05_F002,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F002.wav,Ses04M_impro05_M002,Ses04M_impro05_F003,16.7800 - 18.5700,neu,I'm sorry.
Ses04M_impro05_F003,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F003.wav,Ses04M_impro05_F002,Ses04M_impro05_M003,18.6400 - 19.4900,neu,Right.
Ses04M_impro05_F004,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F004.wav,Ses04M_impro05_M003,Ses04M_impro05_F005,19.5100 - 20.7966,xxx,"Oh, oh, you didn't."
Ses04M_impro05_F005,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F005.wav,Ses04M_impro05_F004,Ses04M_impro05_M004,21.0120 - 22.3920,xxx,I thought you lost your luggage.
Ses04M_impro05_F006,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F006.wav,Ses04M_impro05_M007,Ses04M_impro05_F007,64.4050 - 69.2800,neu,"Uh. Okay.  I -- first of all, I'm very sorry you lost your bag."
Ses04M_impro05_F007,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F007.wav,Ses04M_impro05_F006,Ses04M_impro05_M008,69.3126 - 73.0400,neu,"Um, but, actually, our policy is a fifty dollar"
Ses04M_impro05_F008,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F008.wav,Ses04M_impro05_M008,Ses04M_impro05_M009,73.0400 - 76.7000,neu,refund--coverage of the bag that was lost. yes
Ses04M_impro05_F009,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F009.wav,Ses04M_impro05_M009,Ses04M_impro05_M010,77.5000 - 79.6400,neu,"That's our policy, sir."
Ses04M_impro05_F010,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F010.wav,Ses04M_impro05_M012,Ses04M_impro05_M013,89.8700 - 92.7589,neu,I can't do that.
Ses04M_impro05_F011,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F011.wav,Ses04M_impro05_M013,Ses04M_impro05_M014,95.5859 - 100.2800,xxx,"Uh, no, actually, no I'm not."
Ses04M_impro05_F012,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F012.wav,Ses04M_impro05_M014,Ses04M_impro05_M015,102.7300 - 108.5700,fru,I'm very sorry.  I understand you're frustrated. You just got off of a flight.
Ses04M_impro05_F013,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F013.wav,Ses04M_impro05_M016,Ses04M_impro05_M017,112.3200 - 114.1500,neu,We'll cover fifty.
Ses04M_impro05_F014,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F014.wav,Ses04M_impro05_M017,Ses04M_impro05_M018,123.2500 - 125.4900,fru,We only cover fifty do-
Ses04M_impro05_F015,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F015.wav,Ses04M_impro05_M018,Ses04M_impro05_M019,128.0500 - 132.8500,fru,We only cover fifty dollars worth of lost items.
Ses04M_impro05_F016,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F016.wav,Ses04M_impro05_M020,Ses04M_impro05_F017,132.8700 - 134.7900,fru,I'm very sorry.
Ses04M_impro05_F017,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F017.wav,Ses04M_impro05_F016,Ses04M_impro05_M021,135.6500 - 139.2448,neu,I'm very sorry.  I understand you're upset.  You just got off a long flight.
Ses04M_impro05_F018,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F018.wav,Ses04M_impro05_M021,Ses04M_impro05_F019,139.2728 - 142.6700,fru,We really -- we want to work with you. We really -- we want to help.
Ses04M_impro05_F019,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F019.wav,Ses04M_impro05_F018,Ses04M_impro05_M022,143.4600 - 147.4700,neu,I understand that.  I would know if it was mine. Um-
Ses04M_impro05_F020,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F020.wav,Ses04M_impro05_M022,Ses04M_impro05_F021,148.4300 - 151.2300,neu,But it's not.  It's yours.  I understand.
Ses04M_impro05_F021,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F021.wav,Ses04M_impro05_F020,Ses04M_impro05_M023,151.2300 - 157.0200,fru,I know.  We want to work with you.  We will give you the fifty dollars but I'm--
Ses04M_impro05_F022,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F022.wav,Ses04M_impro05_M023,Ses04M_impro05_M024,165.0200 - 170.6100,fru,"Yeah, we don't do that.  I can go ahead and send you--"
Ses04M_impro05_F023,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F023.wav,Ses04M_impro05_M024,Ses04M_impro05_M025,171.8000 - 180.9500,fru,"We will definitely keep an eye out for your bag. We will try to find it.  We will, you know, fill out the form for missing items."
Ses04M_impro05_F024,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F024.wav,Ses04M_impro05_M025,Ses04M_impro05_F025,190.9700 - 194.7700,fru,No one can make the three check thing happen 'cause we don't do that.
Ses04M_impro05_F025,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F025.wav,Ses04M_impro05_F024,Ses04M_impro05_M026,194.7700 - 197.0600,fru,I can write you the one check.
Ses04M_impro05_F026,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F026.wav,Ses04M_impro05_M026,Ses04M_impro05_M027,197.1800 - 202.9500,fru,All- all that my supervisor could do is the exact same thing that I'm offering to do.
Ses04M_impro05_F027,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F027.wav,Ses04M_impro05_M028,Ses04M_impro05_F028,203.0100 - 206.0700,fru,"I'd be happy to give you a cup of coffee, too."
Ses04M_impro05_F028,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F028.wav,Ses04M_impro05_F027,Ses04M_impro05_M029,206.0900 - 210.6300,fru,We'll just throw that in--gratuitously.
Ses04M_impro05_F029,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F029.wav,Ses04M_impro05_M029,Ses04M_impro05_M030,219.8500 - 223.6121,fru,"No, I don't. See, I could lose my job if I did that."
Ses04M_impro05_F030,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F030.wav,Ses04M_impro05_M030,Ses04M_impro05_F031,226.5200 - 229.0400,fru,And your bag is not my concern.
Ses04M_impro05_F031,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F031.wav,Ses04M_impro05_F030,Ses04M_impro05_M031,229.0400 - 233.4900,fru,The fifty dollars I'm going to give you for your bag is really all I'm concerned with.
Ses04M_impro05_F032,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F032.wav,Ses04M_impro05_M031,Ses04M_impro05_F033,234.1700 - 238.5200,fru,I'm more than happy to not argue about it.  I will give you your fifty dollar certificate.
Ses04M_impro05_F033,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F033.wav,Ses04M_impro05_F032,Ses04M_impro05_M032,238.5200 - 242.8400,fru,You can go ahead and go fill out the form. We'll look for your bag.
Ses04M_impro05_F034,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F034.wav,Ses04M_impro05_M033,Ses04M_impro05_M034,245.6800 - 248.3553,fru,Then that would be lying.
Ses04M_impro05_F035,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F035.wav,Ses04M_impro05_M035,Ses04M_impro05_M036,251.9500 - 258.6400,fru,I'm sorry.  We can only issue one fifty dollar certificate to cover the lost bag for one person.
Ses04M_impro05_F036,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F036.wav,Ses04M_impro05_M036,Ses04M_impro05_M037,258.8600 - 261.5300,neu,"I understand you're frustrated, but--"
Ses04M_impro05_F037,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F037.wav,Ses04M_impro05_M037,Ses04M_impro05_M038,268.4000 - 273.5100,neu,I know. I understand it's personal-- It's personal to you. I get that.
Ses04M_impro05_F038,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F038.wav,Ses04M_impro05_M038,Ses04M_impro05_M039,273.5100 - 281.4600,fru,"But if you want to just sit down, you know, maybe have a cup of tea, calm down a little bit, we'll go ahead and we'll do what we can for you. you okey"
Ses04M_impro05_F039,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F039.wav,Ses04M_impro05_M040,Ses04M_impro05_M041,290.3683 - 296.8400,fru,"And I'm looking forward to that.  However, I can't do that. I would lose my job."
Ses04M_impro05_F040,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F040.wav,Ses04M_impro05_M041,Ses04M_impro05_M042,298.7400 - 300.4600,fru,"Oh, yes."
Ses04M_impro05_F041,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F041.wav,Ses04M_impro05_M042,Ses04M_impro05_M043,303.5200 - 307.1400,fru,"I'm sorry, really.  But--"
Ses04M_impro05_F042,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F042.wav,Ses04M_impro05_M043,Ses04M_impro05_M044,308.6700 - 310.4800,fru,That I'm sorry?
Ses04M_impro05_M000,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M000.wav,,Ses04M_impro05_F000,4.7502 - 9.7100,fru,"Yeah, hi.  Look--Um, okay.  Here's the thing."
Ses04M_impro05_M001,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M001.wav,Ses04M_impro05_F000,Ses04M_impro05_F001,9.7300 - 12.9700,xxx,Just arrived from London--
Ses04M_impro05_M002,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M002.wav,Ses04M_impro05_F001,Ses04M_impro05_F002,14.6500 - 18.9900,fru,lost my luggage. Your airline--
Ses04M_impro05_M003,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M003.wav,Ses04M_impro05_F003,Ses04M_impro05_F004,19.1300 - 24.7900,fru,"lost my luggage. I didn't lose it. No, it's not like I left it somewhere and somebody took it."
Ses04M_impro05_M004,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M004.wav,Ses04M_impro05_F005,Ses04M_impro05_M005,24.7900 - 33.8300,fru,"It was lost.  I waited on the conveyor -- near the conveyor belt to see, you know, where -- then the baggage claim and see if it would- it would come out."
Ses04M_impro05_M005,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M005.wav,Ses04M_impro05_M004,Ses04M_impro05_M006,33.8500 - 44.1400,fru,"Didn't come out.  I spoke to somebody, a local authority figure."
Ses04M_impro05_M006,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M006.wav,Ses04M_impro05_M005,Ses04M_impro05_M007,44.1600 - 56.1500,fru,"And he told me to come to this desk here so I can, uh, at least get, uh, the hundred- hundred and fifty dollars that- that I'm owed for my loss."
Ses04M_impro05_M007,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M007.wav,Ses04M_impro05_M006,Ses04M_impro05_F006,56.6100 - 64.6600,fru,'Cause that's roughly how much the bag plus all its contents was worth.
Ses04M_impro05_M008,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M008.wav,Ses04M_impro05_F007,Ses04M_impro05_F008,73.4100 - 75.3100,ang,fifty dollars?
Ses04M_impro05_M009,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M009.wav,Ses04M_impro05_F008,Ses04M_impro05_F009,75.3500 - 77.8400,ang,"fifty dollars. No way, no."
Ses04M_impro05_M010,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M010.wav,Ses04M_impro05_F009,Ses04M_impro05_M011,78.3100 - 81.4600,ang,"I don't but the thing is, I don't care about your policy."
Ses04M_impro05_M011,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M011.wav,Ses04M_impro05_M010,Ses04M_impro05_M012,81.4600 - 82.8900,ang,You understand?
Ses04M_impro05_M012,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M012.wav,Ses04M_impro05_M011,Ses04M_impro05_F010,82.9200 - 91.5600,fru,"What I want you to do is I want you to write three of those, as if I were three people.  Okay.  You can write -- you can just put my name on all --"
Ses04M_impro05_M013,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M013.wav,Ses04M_impro05_F010,Ses04M_impro05_F011,92.1431 - 96.2016,fru,But what I'm telling you is that's what you're going to do.
Ses04M_impro05_M014,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M014.wav,Ses04M_impro05_F011,Ses04M_impro05_F012,98.4500 - 103.8400,ang,"No, no, because, look, I don't care what your policy says.  I mean--"
Ses04M_impro05_M015,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M015.wav,Ses04M_impro05_F012,Ses04M_impro05_M016,104.7200 - 111.1200,ang,You understand that the contents of my bag- The contents of my bag cost a hundred and fifty dollars.
Ses04M_impro05_M016,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M016.wav,Ses04M_impro05_M015,Ses04M_impro05_F013,111.1763 - 112.7157,ang,You--
Ses04M_impro05_M017,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M017.wav,Ses04M_impro05_F013,Ses04M_impro05_F014,113.6700 - 122.3600,ang,No.  No.  No.  What I need you to do -- I need you to write checks for -- I need you to write three of them. That'll be satisfactory.
Ses04M_impro05_M018,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M018.wav,Ses04M_impro05_F014,Ses04M_impro05_F015,122.3900 - 126.6800,ang,"Just -- you can fill out the form--We can fill out - no, no, no, we can fill out the form three times."
Ses04M_impro05_M019,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M019.wav,Ses04M_impro05_F015,Ses04M_impro05_M020,126.6800 - 130.3500,fru,And then that'll be that. It's going to be fine. Just-
Ses04M_impro05_M020,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M020.wav,Ses04M_impro05_M019,Ses04M_impro05_F016,130.4000 - 137.1800,xxx,"I'm going to get very upset.  Like, I mean, I'm- I'm upset right now but I'm going to get really upset if you- if you don't do the check thing."
Ses04M_impro05_M021,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M021.wav,Ses04M_impro05_F017,Ses04M_impro05_F018,138.1800 - 144.9500,fru,"You don't understand. You don't understand, actually.  You don't understand because it was my luggage that was lost.  Okay."
Ses04M_impro05_M022,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M022.wav,Ses04M_impro05_F019,Ses04M_impro05_F020,147.1200 - 151.5000,ang,"Yeah.  If it was yours, but it's not. It's mine.  Okay. So just--"
Ses04M_impro05_M023,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M023.wav,Ses04M_impro05_F021,Ses04M_impro05_F022,155.0400 - 165.1700,xxx,"No, it's not going to be -- but it's not going to be fifty, it's going to be a hundred and fifty.  You're going to write three, you understand, three of- of the forms.  You're going to write three of them out and then give it to me."
Ses04M_impro05_M024,./IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M024.wav,Ses04M_impro05_F022,Ses04M_impro05_F023,168.2100 - 172.3400,fru,You- you- you- you're misunderstanding me.  You're going to do that.
